picture,stimulus,correctresponse,distance,emotion,answer,RT,correct
  2800.png,  3-3.png,1,0,1,,,
  9910.png,  4-4.png,2,0,1,,,
  9050.png,  5-5.png,3,0,1,,,
  7380.png,  6-6.png,4,0,1,,,
  6300.png,  3-3.png,1,0,1,,,
  6830.png,  4-4.png,2,0,1,,,
  1050.png,  5-5.png,3,0,1,,,
  2722.png,  6-6.png,4,0,1,,,
  2791.png,  3-3.png,1,0,2,,,
  8021.png,  4-4.png,2,0,2,,,
  7410.png,  5-5.png,3,0,2,,,
  7400.png,  6-6.png,4,0,2,,,
  1722.png,  3-3.png,1,0,2,,,
  8490.png,  4-4.png,2,0,2,,,
  8510.png,  5-5.png,3,0,2,,,
  1463.png,  6-6.png,4,0,2,,,
  7060.png,  3-3.png,1,0,3,,,
  7224.png,  4-4.png,2,0,3,,,
  7595.png,  5-5.png,3,0,3,,,
  7040.png,  6-6.png,4,0,3,,,
  7150.png,  3-3.png,1,0,3,,,
  7705.png,  4-4.png,2,0,3,,,
  7217.png,  5-5.png,3,0,3,,,
  7006.png,  6-6.png,4,0,3,,,
  2800.png,  3-4.png,1,1,1,,,
  9910.png,  4-3.png,2,1,1,,,
  9050.png,  5-6.png,3,1,1,,,
  7380.png,  6-5.png,4,1,1,,,
  6300.png,  3-4.png,1,1,1,,,
  6830.png,  4-3.png,2,1,1,,,
  1050.png,  5-6.png,3,1,1,,,
  2722.png,  6-5.png,4,1,1,,,
  2791.png,  3-4.png,1,1,2,,,
  8021.png,  4-3.png,2,1,2,,,
  7410.png,  5-6.png,3,1,2,,,
  7400.png,  6-5.png,4,1,2,,,
  1722.png,  3-4.png,1,1,2,,,
  8490.png,  4-3.png,2,1,2,,,
  8510.png,  5-6.png,3,1,2,,,
  1463.png,  6-5.png,4,1,2,,,
  7060.png,  3-4.png,1,1,3,,,
  7224.png,  4-3.png,2,1,3,,,
  7595.png,  5-6.png,3,1,3,,,
  7040.png,  6-5.png,4,1,3,,,
  7150.png,  3-4.png,1,1,3,,,
  7705.png,  4-3.png,2,1,3,,,
  7217.png,  5-6.png,3,1,3,,,
  7006.png,  6-5.png,4,1,3,,,
  1052.png,  3-3.png,1,0,1,,,
  1201.png,  4-4.png,2,0,1,,,
  6190.png,  5-5.png,3,0,1,,,
  6840.png,  6-6.png,4,0,1,,,
  3022.png,  3-3.png,1,0,1,,,
  6010.png,  4-4.png,2,0,1,,,
  1120.png,  5-5.png,3,0,1,,,
  1302.png,  6-6.png,4,0,1,,,
  8502.png,  3-3.png,1,0,2,,,
  5621.png,  4-4.png,2,0,2,,,
  7330.png,  5-5.png,3,0,2,,,
  7502.png,  6-6.png,4,0,2,,,
  5910.png,  3-3.png,1,0,2,,,
  1920.png,  4-4.png,2,0,2,,,
  2260.png,  5-5.png,3,0,2,,,
  1750.png,  6-6.png,4,0,2,,,
  7050.png,  3-3.png,1,0,3,,,
  7950.png,  4-4.png,2,0,3,,,
  7002.png,  5-5.png,3,0,3,,,
  7000.png,  6-6.png,4,0,3,,,
  7090.png,  3-3.png,1,0,3,,,
  5740.png,  4-4.png,2,0,3,,,
  7080.png,  5-5.png,3,0,3,,,
  7140.png,  6-6.png,4,0,3,,,
  1052.png,  3-4.png,1,1,1,,,
  1201.png,  4-3.png,2,1,1,,,
  6190.png,  5-6.png,3,1,1,,,
  6840.png,  6-5.png,4,1,1,,,
  3022.png,  3-4.png,1,1,1,,,
  6010.png,  4-3.png,2,1,1,,,
  1120.png,  5-6.png,3,1,1,,,
  1302.png,  6-5.png,4,1,1,,,
  8502.png,  3-4.png,1,1,2,,,
  5621.png,  4-3.png,2,1,2,,,
  7330.png,  5-6.png,3,1,2,,,
  7502.png,  6-5.png,4,1,2,,,
  5910.png,  3-4.png,1,1,2,,,
  1920.png,  4-3.png,2,1,2,,,
  2260.png,  5-6.png,3,1,2,,,
  1750.png,  6-5.png,4,1,2,,,
  7050.png,  3-4.png,1,1,3,,,
  7950.png,  4-3.png,2,1,3,,,
  7002.png,  5-6.png,3,1,3,,,
  7000.png,  6-5.png,4,1,3,,,
  7090.png,  3-4.png,1,1,3,,,
  5740.png,  4-3.png,2,1,3,,,
  7080.png,  5-6.png,3,1,3,,,
  7140.png,  6-5.png,4,1,3,,,
